units = {
	fleet = {
		name = "3rd Fleet"
		naval_base = 68
		task_force = {
			name = "3rd Fleet"
			location = 68
			ship = { name = "Goeben" definition = battleship start_experience_factor = 0.22683 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Bayern" definition = battleship start_experience_factor = 0.1972 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Kaiser" definition = battleship start_experience_factor = 0.29291 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "1st Derfflinger" definition = battleship start_experience_factor = 0.3 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Kaiserin" definition = battleship start_experience_factor = 0.3 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Helgoland" definition = battleship start_experience_factor = 0.20468 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Baden" definition = battleship start_experience_factor = 0.21715 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Grosser Kurfürst" definition = battleship start_experience_factor = 0.2168 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "König Albert" definition = battleship start_experience_factor = 0.28846 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Mackensen" definition = battleship start_experience_factor = 0.26583 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "2nd Derfflinger" definition = battleship start_experience_factor = 0.22327 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Kronprinz" definition = battleship start_experience_factor = 0.3 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "König" definition = battleship start_experience_factor = 0.26461 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Lützow" definition = battleship start_experience_factor = 0.28571 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Hindenburg" definition = battleship start_experience_factor = 0.28091 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Friedrich der Grosse" definition = battleship start_experience_factor = 0.24825 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Markgraf" definition = battleship start_experience_factor = 0.3 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Moltke" definition = battleship start_experience_factor = 0.3 equipment = { ship_hull_heavy_1 = { amount = 1 owner = GER version_name = "Early Battleship" } } }
			ship = { name = "Berlin" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Blitz" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Blücher" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Comet" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Amazone" definition = light_cruiser start_experience_factor = 0.22395 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Ariadne" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Brummer" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Arcona" definition = light_cruiser start_experience_factor = 0.22598 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Augsburg" definition = light_cruiser start_experience_factor = 0.23167 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Bremen" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Bussard" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "1st Condor" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Cormoran" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Cöln" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Breslau" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Bremse" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "2nd Condor" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
			ship = { name = "Danzig" definition = light_cruiser start_experience_factor = 0.3 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = GER version_name = "Early Light Cruiser" } } }
		}
	}
}
