units = {
	fleet = {
		name = "1st Fleet"
		naval_base = 12589
		task_force = {
			name = "1st Fleet"
			location = 12589
			ship = { name = "1st Port Elizabeth Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "2nd Springbok Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "2nd Port Elizabeth Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "3rd Port Elizabeth Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "1st Cape Town Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "3rd Springbok Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "4th Springbok Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "2nd Cape Town Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "5th Springbok Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "3rd Cape Town Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "4th Cape Town Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "6th Springbok Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "5th Cape Town Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "7th Springbok Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "4th Port Elizabeth Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "6th Cape Town Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "8th Springbok Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "5th Port Elizabeth Battleship" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "South Africa" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "1st Good Hope" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "2nd Good Hope" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "Cape Town" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "Cecil Rhodes" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "Leander Jameson" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "Lion" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "Cheetah" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "Leopard" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "Vildebeest" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "1st Jackal" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "2nd Jackal" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "Mongoose" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "Hyena" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "Caracal" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "1st Serval" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "2nd Serval" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
			ship = { name = "Genet" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = SAF } } }
		}
	}
}
